,Features,Importance
83,VPC-5,0.0009188703910004214
400,ETA_dBetaP,0.0009161452955490603
258,minHaaCH,0.0009142030765396587
329,maxHother,0.0009065714154814098
176,SHBint4,0.0008998506000506181
398,ETA_BetaP_ns,0.000883357114438054
406,ETA_Eta_F,0.0008761823370997759
278,minssNH,0.0008758248038958005
319,maxHssNH,0.0008702699312739224
459,PetitjeanNumber,0.0008674281727879785
413,ETA_Eta_B,0.0008624277118640817
247,minHBint9,0.0008176151071267354
412,ETA_EtaP_F_L,0.0008133173746484777
30,ATSp1,0.0008045944220553262
494,MW,0.0007783468939084744
495,WTPT-1,0.0007709459491339512
76,VC-4,0.0007705318885038654
349,maxsssN,0.0007699701264396654
32,ATSp3,0.0007555707830044271
180,SHBint8,0.0007519280600841317
393,ETA_Beta,0.000748233841168674
375,ETA_AlphaP,0.0007477636314372342
26,ATSm2,0.0007464592087983145
33,ATSp4,0.0007418209175529695
4,apol,0.0007386657590083124
134,nssCH2,0.0007354636941791987
74,SC-6,0.0007290143571399407
362,sumI,0.0007264239871403675
394,ETA_BetaP,0.0007257403317203069
71,SC-3,0.000719411552398432
330,maxsCH3,0.0007140326514678877
28,ATSm4,0.0006983774705403716
36,BCUTw-1l,0.000698307567403374
403,ETA_Eta,0.000694315261473717
380,ETA_Epsilon_3,0.0006933787956247161
397,ETA_Beta_ns,0.0006741870457478562
408,ETA_Eta_L,0.0006722547896222763
198,SsCH3,0.0006687852240506471
208,SaaaC,0.000665677930738465
3,AMR,0.0006623629304712774
392,ETA_Shape_X,0.0006434485908491693
410,ETA_Eta_R_L,0.0006412472229927454
383,ETA_dEpsilon_A,0.0006378207282318182
378,ETA_Epsilon_1,0.0006311036509649758
387,ETA_Psi_1,0.0006199837077470577
85,SP-0,0.0006008626862757559
87,SP-2,0.000595842955228325
489,nRotB,0.0005927436962917415
348,maxaaN,0.000592742684133667
405,ETA_Eta_R,0.0005853801850098389
500,WPATH,0.0005744208833554816
313,maxHBint9,0.0005724432060622424
433,McGowan_Volume,0.0005577700340619561
50,nBondsM,0.0005568168027119909
310,maxHBint6,0.0005564807354683016
377,ETA_dAlpha_B,0.0005462506332033838
45,nBondsS2,0.0005414381859382759
113,nHBint7,0.0005388048777399504
281,mindsN,0.0005350384467466601
425,HybRatio,0.0005324891748788729
175,SHBint3,0.0005284523309060119
399,ETA_dBeta,0.0005179764201706712
128,nHCsats,0.000509755477417193
254,minHaaNH,0.0005094526065894207
57,C1SP3,0.0005078920627274466
116,nHBint10,0.0004980328567792581
357,maxsF,0.0004941686223269153
257,minHdsCH,0.0004912447487545831
60,C4SP3,0.00048118822041165433
31,ATSp2,0.0004762489619739556
138,nsssCH,0.00047544631438748255
72,SC-4,0.00046958129396935635
320,maxHaaNH,0.00046144647197352397
473,nF9Ring,0.00044305987803320294
501,WPOL,0.00043866936585309075
55,C2SP2,0.00043626654419959233
202,SdsCH,0.00043160520599230996
191,SHdsCH,0.00043077595094419437
340,maxaaaC,0.0004280937009633082
216,SaaN,0.0004256079644370551
93,VP-0,0.0004254779915787002
102,CrippenMR,0.00042494541929820697
291,minsF,0.000424205811854813
47,nBondsD,0.00042273647143443847
282,minaaN,0.00041300500458147125
478,nTRing,0.0004125537300676196
434,MDEC-11,0.00040755488016141117
274,minaaaC,0.0004069541819867686
27,ATSm3,0.00039612814998526394
359,maxdS,0.0003928448781076901
395,ETA_Beta_s,0.0003887723506885444
420,nHBAcc2,0.000380661208970615
181,SHBint9,0.00037865764679408147
9,nH,0.00037343597357228874
225,SsF,0.0003721154951666266
429,nAtomLC,0.0003553519905603695
215,SdsN,0.000343263446317849
131,nHother,0.0003386729003700713
46,nBondsS3,0.00033839013926215876
451,MDEN-23,0.00033660395245154406
94,VP-1,0.0003365422186143032
229,SssS,0.0003360047541183689
241,minHBint3,0.0003306890321863181
421,nHBAcc3,0.00032862937707943244
308,maxHBint4,0.0003277597511909315
275,minssssC,0.0003276910821985443
388,ETA_dPsi_A,0.00032298473758210873
426,Kier1,0.0003153170493306073
344,maxssNH,0.0003030344883373198
484,nT9Ring,0.0003020780224122838
268,mindsCH,0.0003009287240077502
86,SP-1,0.00029606308898087107
476,nF12Ring,0.00029002928726965985
107,nwHBa,0.0002804087748544653
58,C2SP3,0.000278231930970578
110,nHBint4,0.0002745147416815574
43,nBonds2,0.0002741880812532251
307,maxHBint3,0.00027346813737819906
323,maxHdsCH,0.00027302287272652363
374,ETA_Alpha,0.00026539982743094525
306,maxHBint2,0.00026477329562092124
163,nssS,0.00026108144984575394
7,nAtom,0.0002596167073510367
486,nT11Ring,0.00025197615935472674
488,nTG12Ring,0.00024876856152403415
464,n6Ring,0.0002442256978230763
174,SHBint2,0.00023494266294248493
294,mindS,0.00023255255574973087
5,naAromAtom,0.00023030832998114598
240,minHBint2,0.00021380872244525684
347,maxdsN,0.00021364003637204572
213,SaaNH,0.00021274189410045466
111,nHBint5,0.00020779998731750284
141,naasC,0.00020351476455262625
44,nBondsS,0.00019558100605368634
117,nHsOH,0.00018447756463776772
126,nHaaCH,0.00017705706533301666
209,SssssC,0.00016952547011317185
35,nBase,0.000163018080072806
137,naaCH,0.00016174478314063653
481,nT6Ring,0.00015574198023390363
11,nN,0.00015379409069176647
187,SHssNH,0.0001531719871565824
401,ETA_Beta_ns_d,0.0001524181485151114
19,nX,0.00015098005765667413
228,SdS,0.00014413524346871986
156,nssO,0.00014366808086794806
147,naaNH,0.00014027790324989378
485,nT10Ring,0.00013973534621758915
193,SHCHnX,0.0001387993957317423
503,Zagreb,0.00013613879702304324
424,nHBDon_Lipinski,0.000134213249437701
474,nF10Ring,0.00013163232839818006
132,nsCH3,0.00012971779819968718
487,nT12Ring,0.0001286681341872923
334,maxdsCH,0.00012721107109508434
6,nAromBond,0.0001243878862365649
115,nHBint9,0.00011936118418689857
42,nBonds,0.00011930705096761842
446,MDEO-22,0.00011854392575803353
490,LipinskiFailures,0.0001154922873429855
154,nsOH,0.00011214177270981697
262,minHAvin,0.00011214000208903232
289,minaaO,0.0001114938272150788
233,SsCl,0.00011040620182034712
328,maxHAvin,0.00010948355371013523
279,minaaNH,0.0001074810780684621
109,nHBint3,0.00010515824043071028
223,SaaO,0.00010376652681340339
477,nFG12Ring,0.000102406759613771
59,C3SP3,0.00010061522654902762
355,maxaaO,9.965174109674262e-05
303,maxwHBd,9.685173240310223e-05
106,nHBa,9.277098743528411e-05
482,nT7Ring,9.120815712392628e-05
142,naaaC,8.7780940699943e-05
284,minaasN,8.271240970416223e-05
151,nsssN,8.08923711524017e-05
360,maxsCl,7.984800512190127e-05
480,nT5Ring,7.95250098656875e-05
341,maxssssC,7.934894538931205e-05
212,SssNH,7.070049710725709e-05
322,maxHdCH2,6.792531312636855e-05
